"Corpus","Source","Size","Origine"
"0001_vc_runtimeAdditional_x64.msi","C:\ProgramData\Package Cache\{010792BA-551A-3AC0-A7EF-0FAB4156C382}v12.0.40664\packages\vcRuntimeAdditional_amd64\vc_runtimeAdditional_x64.msi","143360","PackageCache"
"0002_d45d102bc897d4bc714fd0ee5832cfb7-x64.msi","C:\ProgramData\Package Cache\{01567F58-B04E-49BD-B61A-AC314772F797}v81.180.53633\d45d102bc897d4bc714fd0ee5832cfb7-x64.msi","651264","PackageCache"
"0003_vcredist_x64.exe","C:\ProgramData\Package Cache\{042d26ef-3dbe-4c25-95d3-4c1b11b235a7}\vcredist_x64.exe","465992","PackageCache"
"0004_vcredist_x64.exe","C:\ProgramData\Package Cache\{050d4fc8-5d48-4b8f-8972-47c82c46020f}\vcredist_x64.exe","461400","PackageCache"
"0005_windowsdesktop-runtime-6.0.36-win-x64.exe","C:\ProgramData\Package Cache\{0532b8f2-12d7-43de-95fc-7b87006758a8}\windowsdesktop-runtime-6.0.36-win-x64.exe","622712","PackageCache"
"0006_SetupChipsetx64.msi","C:\ProgramData\Package Cache\{06D713D6-9845-436D-B857-5BF2596B4554}v10.1.18634.8254\SetupChipsetx64.msi","495616","PackageCache"
"0007_Universal CRT Tools x64-x64_en-us.msi","C:\ProgramData\Package Cache\{099178C3-9374-7477-8D34-B28BC8FC5488}v10.1.19041.5609\Installers\Universal CRT Tools x64-x64_en-us.msi","450560","PackageCache"
"0008_Windows SDK Desktop Tools x86-x86_en-us.msi","C:\ProgramData\Package Cache\{0A2BCE78-63A3-9F82-AD76-17C310B3EAEF}v10.1.19041.5609\Installers\Windows SDK Desktop Tools x86-x86_en-us.msi","475136","PackageCache"
"0009_43e5e451d3085d07bf06084e1f6014a7-x64.msi","C:\ProgramData\Package Cache\{0A5ABEFB-1038-4F63-9B66-7D528B00744C}v81.180.53633\43e5e451d3085d07bf06084e1f6014a7-x64.msi","638976","PackageCache"
"0010_test.msi","C:\ProgramData\Package Cache\{0A9B38A7-D393-44A5-A94E-9FEC927DC39C}v3.12.150.0\test.msi","5517312","PackageCache"
"0011_WinRT Intellisense Mobile - en-us-x86_en-us.msi","C:\ProgramData\Package Cache\{0C75EFBC-6D0C-7516-AE74-4F9FADE79EA2}v10.1.19041.5609\Installers\WinRT Intellisense Mobile - en-us-x86_en-us.msi","454656","PackageCache"
"0012_lib.msi","C:\ProgramData\Package Cache\{0DC6C3A0-5CF6-46F6-B639-80DA74882478}v3.12.5150.0\lib.msi","7401472","PackageCache"
"0013_VC_redist.x64.exe","C:\ProgramData\Package Cache\{0e3bb569-69d6-4c34-bff9-c2f81db5e5f0}\VC_redist.x64.exe","630000","PackageCache"
